"","ï..iPad","iPod","iPhone","Samsung.mobile.phone","Other.mobile.phone","Mac.computer.desktop","Mac.computer.laptop","PC..Laptop.computer","None.of.these","None.of.these.1"
"ï..iPad",1,0.299106717422193,0.390824395649319,-0.154677311007744,-0.217762889385429,0.185249070122741,0.2323296877785,-0.0231628331455678,-0.0928729289708067,-0.0535825357967125
"iPod",0.299106717422193,1,0.288378307308691,-0.0867057238949984,-0.0720742964042428,0.170547206260979,0.12304533786918,0.0595810197253906,-0.0112929144737753,-0.0396484020661999
"iPhone",0.390824395649319,0.288378307308691,1,-0.318580175675746,-0.466722734211415,0.189442351529206,0.360684484437779,-0.025944784868576,-0.157010367064994,-0.0615914082229095
"Samsung.mobile.phone",-0.154677311007744,-0.0867057238949984,-0.318580175675746,1,-0.15619961127831,-0.165596349811371,-0.18747275549874,0.140686992269466,0.227674196874854,-0.0452006696666385
"Other.mobile.phone",-0.217762889385429,-0.0720742964042428,-0.466722734211415,-0.15619961127831,1,-0.11403804772117,-0.223626161069128,0.0829567216409233,0.108478942432606,-0.0334248393640714
"Mac.computer.desktop",0.185249070122741,0.170547206260979,0.189442351529206,-0.165596349811371,-0.11403804772117,1,0.16750417617247,-0.192780829978462,-0.344607318874754,-0.0225214372387651
"Mac.computer.laptop",0.2323296877785,0.12304533786918,0.360684484437779,-0.18747275549874,-0.223626161069128,0.16750417617247,1,-0.167811872873793,-0.337215725645118,-0.0343066148075724
"PC..Laptop.computer",-0.0231628331455678,0.0595810197253906,-0.025944784868576,0.140686992269466,0.0829567216409233,-0.192780829978462,-0.167811872873793,1,0.104118399080372,-0.0461581978488989
"None.of.these",-0.0928729289708067,-0.0112929144737753,-0.157010367064994,0.227674196874854,0.108478942432606,-0.344607318874754,-0.337215725645118,0.104118399080372,1,-0.0714774114831181
"None.of.these.1",-0.0535825357967125,-0.0396484020661999,-0.0615914082229095,-0.0452006696666385,-0.0334248393640714,-0.0225214372387651,-0.0343066148075724,-0.0461581978488989,-0.0714774114831181,1
